Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
A461;SI;ASCIANO;;I9AC;SI;SI;SI00;052002;;;
A462;AP;ASCOLI PICENO;;K2AA;AP;AP;AP00;044007;;;
A463;FG;ASCOLI SATRIANO;;R3AF;FG;FG;FG00;071005;;;
A464;RI;ASCREA;;M4AE;RI;RI;RI00;057004;;;
A465;VI;ASIAGO;;D7AJ;VI;VI;VI20;024009;;;
A466;VC;ASIGLIANO VERCELLESE;;A6AK;VC;VC;VC00;002007;;;
A467;VI;ASIGLIANO VENETO;;D7AK;VI;VI;VI00;024010;;;
A468;SI;SINALUNGA;;I9AD;SI;SI;SI10;052033;;;
A470;MN;ASOLA;;C6AC;MN;MN;MN10;020002;;;
A471;TV;ASOLO;;D5AE;TV;TV;TV00;026003;;;
A472;RI;CASPERIA;;M4AF;RI;RI;RI00;057012;;;
A473;MI;ASSAGO;;C1AT;MI;MI;MI20;015011;;;
A474;CA;ASSEMINI;;V1AM;CA;CA;CA00;092003;;;
A475;PG;ASSISI;;L1AB;PG;PG;PG00;054001;;;
A476;CO;ASSO;;C4AW;CO;CO;LC00;013013;;;
A477;OR;ASSOLO;;V4AI;OR;OR;OR00;095008;;;
A478;EN;ASSORO;;U5AD;EN;EN;EN00;086003;;;
A479;AT;ASTI;;A3AA;AT;AT;AT00;005005;;;
A480;OR;ASUNI;;V4AJ;OR;OR;OR00;095009;;;
A481;AQ;ATELETA;;N1AG;AQ;AQ;AQ00;066005;;;
A482;PZ;ATELLA;;S1AG;PZ;PZ;PZ00;076006;;;
A484;SA;ATENA LUCANA;;Q5AK;SA;SA;SA00;065010;;;
A485;CH;ATESSA;;N2AF;CH;CH;CH00;069005;;;
A486;FR;ATINA;;M2AM;FR;FR;FR00;060011;;;
A487;SA;ATRANI;;Q5AL;SA;SA;SA00;065011;;;
A488;TE;ATRI;;N4AE;TE;TE;TE00;067004;;;
A489;AV;ATRIPALDA;;Q2AG;AV;AV;AV00;064006;;;
A490;TR;ATTIGLIANO;;L2AG;TR;TR;TR00;055006;;;
A491;UD;ATTIMIS;;F6AH;UD;UD;UD00;030007;;;
A492;NU;ATZARA;;V2AE;NU;NU;NU00;091003;;;
A493;PU;AUDITORE;;K4AD;PS;PS;PS10;041003;;;
A494;SR;AUGUSTA;;U8AB;SR;SR;SR00;089001;;;
A495;SA;AULETTA;;Q5AM;SA;SA;SA00;065012;;;
A496;MS;AULLA;;I6AD;MS;MS;MS00;045001;;;
A497;VB;AURANO;;A5AX;VB;VB;VB00;103005;;;
A499;IM;AURIGO;;G2AG;IM;IM;IM00;008005;;;
A501;BL;AURONZO DI CADORE;;D2AG;BL;BL;BL00;025005;;;
A502;FR;AUSONIA;;M2AN;FR;FR;FR00;060012;;;
A503;NU;AUSTIS;;V2AF;NU;NU;NU00;091004;;;
A506;GE;AVEGNO;;G1AD;GE;GE;GE00;010002;;;
A507;BZ;AVELENGO;HAFLING;E2AK;;;;021005;;;
A508;AV;AVELLA;;Q2AH;AV;AV;AV00;064007;;;
A509;AV;AVELLINO;;Q2AA;AV;AV;AV00;064008;;;
A511;BG;AVERARA;;C2AU;BG;BG;BG00;016014;;;
A512;CE;AVERSA;;Q4AJ;CE;CE;CE00;061005;;;
A514;TA;AVETRANA;;R5AB;TA;TA;TA00;073001;;;
A515;AQ;AVEZZANO;;N1AH;AQ;AQ;AQ00;066006;;;
A516;PN;AVIANO;;F5AE;PN;PN;PN00;093004;;;
A517;BG;AVIATICO;;C2AV;BG;BG;BG00;016015;;;
A518;TO;AVIGLIANA;;A1AQ;TO;TO;TO60;001013;;;
A519;PZ;AVIGLIANO;;S1AH;PZ;PZ;PZ00;076007;;;
A520;TN;AVIO;;E1AM;;;;022007;;;
A521;AO;AVISE;;B1AH;AO;AO;AO00;007006;;;
A522;SR;AVOLA;;U8AC;SR;SR;SR00;089002;;;
A523;AL;AVOLASCA;;A2AK;AL;AL;AL40;006010;;;
A525;TO;AZEGLIO;;A1AS;TO;TO;TO40;001014;;;
A526;CR;AZZANELLO;;C5AI;CR;CR;CR00;019004;;;
A527;AT;AZZANO D'ASTI;;A3AF;AT;AT;AT00;005006;;;
A528;BG;AZZANO SAN PAOLO;;C2AW;BG;BG;BG00;016016;;;
A529;BS;AZZANO MELLA;;C3AP;BS;BS;BS00;017008;;;
A530;PN;AZZANO DECIMO;;F5AF;PN;PN;PN00;093005;;;
A531;VA;AZZATE;;C9AM;VA;VA;VA00;012006;;;
A532;VA;AZZIO;;C9AN;VA;VA;VA00;012007;;;
A533;BG;AZZONE;;C2AX;BG;BG;BG00;016017;;;
A534;VB;BACENO;;A5AZ;VB;VB;VB00;103006;;;
A535;NA;BACOLI;;Q1AG;NA;NA;NA20;063006;;;
A536;IM;BADALUCCO;;G2AH;IM;IM;IM10;008006;;;
A537;BZ;BADIA;ABTEI;E2AL;;;;021006;;;
A538;PV;BADIA PAVESE;;C7AH;PV;PV;PV00;018006;;;
A539;RO;BADIA POLESINE;;D4AE;RO;RO;RO00;029004;;;
A540;VR;BADIA CALAVENA;;D6AG;VR;VR;VR00;023005;;;
A541;AR;BADIA TEDALDA;;I2AC;AR;AR;AR00;051003;;;
A542;CZ;BADOLATO;;T2AI;CZ;CZ;CZ00;079008;;;
A544;RC;BAGALADI;;T1AG;RC;RC;RC00;080006;;;
A546;PA;BAGHERIA;;U1AG;PA;PA;PA00;082006;;;
A547;RA;BAGNACAVALLO;;H7AC;RA;RA;RA00;039002;;;
A550;PV;BAGNARIA;;C7AI;PV;PV;PV20;018007;;;
A551;RA;BAGNARA DI ROMAGNA;;H7AD;RA;RA;RA00;039003;;;
A552;RC;BAGNARA CALABRA;;T1AH;RC;RC;RC00;080007;;;
A553;UD;BAGNARIA ARSA;;F6AJ;UD;UD;UD00;030008;;;
A555;CN;BAGNASCO;;A4AL;CN;CN;CN20;004008;;;
A557;BG;BAGNATICA;;C2AY;BG;BG;BG00;016018;;;
A560;LU;BAGNI DI LUCCA;;I5AC;LU;LU;LU00;046002;;;
A561;PT;MONTECATINI TERME;;I8AD;PT;PT;PT10;047011;;;
A562;PI;SAN GIULIANO TERME;;I7AC;PI;PI;PI00;050031;;;
A564;FI;BAGNO A RIPOLI;;I1AB;FI;FI;FI00;048001;;;
A565;FC;BAGNO DI ROMAGNA;;H3AB;FO;FO;FO00;040001;;;
A566;AV;BAGNOLI IRPINO;;Q2AI;AV;AV;AV00;064009;;;
A567;IS;BAGNOLI DEL TRIGNO;;P2AD;IS;IS;IS00;094003;;;
A568;PD;BAGNOLI DI SOPRA;;D3AI;PD;PD;PD00;028008;;;
A569;BS;BAGNOLO MELLA;;C3AQ;BS;BS;BS00;017009;;;
A570;CR;BAGNOLO CREMASCO;;C5AK;CR;CR;LO00;019005;;;
A571;CN;BAGNOLO PIEMONTE;;A4AM;CN;CN;CN30;004009;;;
A572;LE;BAGNOLO DEL SALENTO;;R4AI;LE;LE;LE00;075008;;;
A573;RE;BAGNOLO IN PIANO;;H8AC;RE;RE;RE00;035002;;;
A574;RO;BAGNOLO DI PO;;D4AF;RO;RO;RO00;029005;;;
A575;MN;BAGNOLO SAN VITO;;C6AD;MN;MN;MN00;020003;;;
A576;MS;BAGNONE;;I6AE;MS;MS;MS00;045002;;;
A577;VT;BAGNOREGIO;;M5AE;VT;VT;VT00;056003;;;
A578;BS;BAGOLINO;;C3AR;BS;BS;BS20;017010;;;
A579;CE;BAIA E LATINA;;Q4AK;CE;CE;CE00;061006;;;
A580;AV;BAIANO;;Q2AJ;AV;AV;AV00;064010;;;
A581;IM;BAIARDO;;G2AI;IM;IM;IM10;008007;;;
A584;TO;BAIRO;;A1AU;TO;TO;TO40;001015;;;
A586;RE;BAISO;;H8AD;RE;RE;RE00;035003;;;
A587;TO;BALANGERO;;A1AV;TO;TO;TO20;001016;;;
A588;AT;BALDICHIERI D'ASTI;;A3AG;AT;AT;AT00;005007;;;
A589;CN;BALDISSERO D'ALBA;;A4AN;CN;CN;CN10;004010;;;
A590;TO;BALDISSERO CANAVESE;;A1AW;TO;TO;TO40;001017;;;
A591;TO;BALDISSERO TORINESE;;A1AX;TO;TO;TO20;001018;;;
A592;PA;BALESTRATE;;U1AH;PA;PA;PA00;082007;;;
A593;SV;BALESTRINO;;G4AI;SV;SV;SV10;009008;;;
A594;LC;BALLABIO;;C4AZ;LC;LC;LC00;097004;;;
A597;SU;BALLAO;;V1AQ;CA;CA;CA00;111003;;;
A599;TO;BALME;;A1AY;TO;TO;TO20;001019;;;
A600;VC;BALMUCCIA;;A6AL;VC;VC;VC00;002008;;;
A601;VC;BALOCCO;;A6AM;VC;VC;VC00;002009;;;
A603;AQ;BALSORANO;;N1AJ;AQ;AQ;AQ00;066007;;;
A604;PZ;BALVANO;;S1AI;PZ;PZ;PZ00;076008;;;
A605;AL;BALZOLA;;A2AP;AL;AL;AL20;006011;;;
A606;SS;BANARI;;V3AH;SS;SS;SS00;090007;;;
A607;TO;BANCHETTE;;A1AZ;TO;TO;TO40;001020;;;
A609;OR;VILLA VERDE;;V4CX;OR;OR;OR00;095073;;;
A610;VB;BANNIO ANZINO;;A5BA;VB;VB;VB00;103007;;;
A612;PZ;BANZI;;S1AJ;PZ;PZ;PZ00;076009;;;
A613;PD;BAONE;;D3AJ;PD;PD;PD10;028009;;;
A614;OR;BARADILI;;V4AK;OR;OR;OR00;095010;;;
A615;PZ;BARAGIANO;;S1AK;PZ;PZ;PZ00;076010;;;
A616;CB;BARANELLO;;P1AD;CB;CB;CB00;070002;;;
A617;NA;BARANO D'ISCHIA;;Q1AH;NA;NA;NA20;063007;;;
A618;MI;BARANZATE;;C1AW;MI;MI;MI20;015250;;;
A619;VA;BARASSO;;C9AQ;VA;VA;VA00;012008;;;
A621;OR;BARATILI SAN PIETRO;;V4AL;OR;OR;OR00;095011;;;
A625;TO;BARBANIA;;A1BB;TO;TO;TO20;001021;;;
A626;AN;BARBARA;;K1AD;AN;AN;AN00;042004;;;
A628;VT;BARBARANO ROMANO;;M5AF;VT;VT;VT00;056004;;;
A629;CN;BARBARESCO;;A4AP;CN;CN;CN10;004011;;;
A630;BS;BARBARIGA;;C3AS;BS;BS;BS00;017011;;;
A631;BG;BARBATA;;C2AZ;BG;BG;BG00;016019;;;
A632;FI;BARBERINO DI MUGELLO;;I1AC;FI;FI;FI00;048002;;;
A633;FI;BARBERINO VAL D'ELSA;;I1AD;FI;FI;FI00;048003;;;
A634;PV;BARBIANELLO;;C7AJ;PV;PV;PV20;018008;;;
A635;BZ;BARBIANO;BARBIAN;E2AM;;;;021007;;;
A637;PD;BARBONA;;D3AK;PD;PD;PD10;028010;;;
A638;ME;BARCELLONA POZZO DI GOTTO;;U6AF;ME;ME;ME00;083005;;;
A640;PN;BARCIS;;F5AG;PN;PN;PN00;093006;;;
A643;AO;BARD;;B1AJ;AO;AO;AO00;007009;;;
A645;VA;BARDELLO;;C9AR;VA;VA;VA00;012009;;;
A646;PR;BARDI;;H5AC;PR;PR;PC00;034002;;;
A647;SV;BARDINETO;;G4AJ;SV;SV;SV10;009009;;;
A650;VR;BARDOLINO;;D6AH;VR;VR;VR00;023006;;;
A651;TO;BARDONECCHIA;;A1BD;TO;TO;TO60;001022;;;
A652;MI;BAREGGIO;;C1AZ;MI;MI;PV00;015012;;;
A653;NO;BARENGO;;A5BB;NO;NO;NO00;003012;;;
A655;OR;BARESSA;;V4AM;OR;OR;OR00;095012;;;
A656;AQ;BARETE;;N1AK;AQ;AQ;AQ00;066008;;;
A657;LU;BARGA;;I5AD;LU;LU;PI00;046003;;;
A658;GE;BARGAGLI;;G1AE;GE;GE;GE00;010003;;;
A660;CN;BARGE;;A4AQ;CN;CN;CN30;004012;;;
A661;BS;BARGHE;;C3AU;BS;BS;BS20;017012;;;
A662;BA;BARI;;R1AA;BA;BA;BA00;072006;;;
A663;NU;BARI SARDO;;V2AG;NU;NU;NU00;091005;;;
A664;BG;BARIANO;;C2BB;BG;BG;BG00;016020;;;
A665;BO;BARICELLA;;H1AE;BO;BO;BO00;037003;;;
A666;PZ;BARILE;;S1AL;PZ;PZ;PZ00;076011;;;
A667;AQ;BARISCIANO;;N1AL;AQ;AQ;AQ00;066009;;;
A668;MB;BARLASSINA;;C1BB;MI;MI;MI20;108005;;;
A669;BT;BARLETTA;;R1AG;BA;BA;BA10;110002;;;
A670;CO;BARNI;;C4BD;CO;CO;LC00;013015;;;
A671;CN;BAROLO;;A4AR;CN;CN;CN10;004013;;;
A673;TO;BARONE CANAVESE;;A1BE;TO;TO;TO40;001023;;;
A674;SA;BARONISSI;;Q5AN;SA;SA;SA00;065013;;;
A676;EN;BARRAFRANCA;;U5AE;EN;EN;EN00;086004;;;
A677;SU;BARRALI;;V1AW;CA;CA;CA00;111004;;;
A678;AQ;BARREA;;N1AM;AQ;AQ;AQ00;066010;;;
A681;SU;BARUMINI;;V1AX;CA;CA;CA00;111005;;;
A683;LC;BARZAGO;;C4BF;LC;LC;LC00;097005;;;
A684;BG;BARZANA;;C2BD;BG;BG;BG00;016021;;;
A686;LC;BARZANO';;C4BG;LC;LC;LC00;097006;;;
A687;LC;BARZIO;;C4BH;LC;LC;LC00;097007;;;
A689;AL;BASALUZZO;;A2AQ;AL;AL;AL30;006012;;;
A690;PV;BASCAPE';;C7AL;PV;PV;MI20;018009;;;
A691;TR;BASCHI;;L2AH;TR;TR;TR00;055007;;;
A692;TE;BASCIANO;;N4AF;TE;TE;TE00;067005;;;
A694;TN;BASELGA DI PINE';;E1AT;;;;022009;;;
A696;BN;BASELICE;;Q3AI;BN;BN;BN00;062007;;;
A697;MI;BASIANO;;C1BC;MI;MI;MI20;015014;;;
A698;ME;BASICO';;U6AG;ME;ME;ME00;083006;;;
A699;MI;BASIGLIO;;C1BD;MI;MI;MI20;015015;;;
A700;UD;BASILIANO;;F6AK;UD;UD;UD00;030009;;;
A701;VT;VASANELLO;;M5AG;VT;VT;VT00;056055;;;
A702;BS;BASSANO BRESCIANO;;C3AV;BS;BS;BS00;017013;;;
A703;VI;BASSANO DEL GRAPPA;;D7AM;VI;VI;VI10;024012;;;
A704;VT;BASSANO ROMANO;;M5AH;VT;VT;VT00;056005;;;
A705;VA;TRONZANO LAGO MAGGIORE;;C9HW;VA;VA;VA00;012129;;;
A706;VT;BASSANO IN TEVERINA;;M5AI;VT;VT;VT00;056006;;;
A707;LT;BASSIANO;;M3AC;LT;LT;LT00;059002;;;
A708;AL;BASSIGNANA;;A2AR;AL;AL;AL00;006013;;;
A709;CN;BASTIA MONDOVI';;A4AS;CN;CN;CN20;004014;;;
A710;PG;BASTIA UMBRA;;L1AC;PG;PG;PG00;054002;;;
A712;PV;BASTIDA PANCARANA;;C7AP;PV;PV;PV20;018011;;;
A713;MO;BASTIGLIA;;H4AB;MO;MO;MO00;036001;;;
A714;PD;BATTAGLIA TERME;;D3AL;PD;PD;PD00;028011;;;
A716;CN;BATTIFOLLO;;A4AT;CN;CN;CN20;004015;;;
A717;SA;BATTIPAGLIA;;Q5AP;SA;SA;SA00;065014;;;
A718;PV;BATTUDA;;C7AQ;PV;PV;PV00;018012;;;
A719;PA;BAUCINA;;U1AI;PA;PA;PA00;082008;;;
A720;FR;BOVILLE ERNICA;;M2AP;FR;FR;FR00;060014;;;
A721;OR;BAULADU;;V4AN;OR;OR;OR00;095013;;;
A722;NU;BAUNEI;;V2AH;NU;NU;NU00;091006;;;
A725;VB;BAVENO;;A5BC;VB;VB;VB00;103008;;;
A728;VA;BEDERO VALCUVIA;;C9AU;VA;VA;VA00;012010;;;
A729;BS;BEDIZZOLE;;C3AW;BS;BS;BS00;017014;;;
A730;TN;BEDOLLO;;E1AU;;;;022011;;;
A731;PR;BEDONIA;;H5AD;PR;PR;PR00;034003;;;
A732;BG;BEDULITA;;C2BE;BG;BG;BG00;016022;;;
A733;VB;BEE;;A5BD;VB;VB;VB00;103009;;;
A734;TO;BEINASCO;;A1BG;TO;TO;TO20;001024;;;
A735;CN;BEINETTE;;A4AU;CN;CN;CN00;004016;;;
A736;CZ;BELCASTRO;;T2AJ;CZ;CZ;CZ00;079009;;;
A737;VR;BELFIORE;;D6AI;VR;VR;VR00;023007;;;
A738;AL;BELFORTE MONFERRATO;;A2AS;AL;AL;AL30;006014;;;
A739;MC;BELFORTE DEL CHIENTI;;K3AE;MC;MC;MC00;043004;;;
A740;PU;BELFORTE ALL'ISAURO;;K4AF;PS;PS;PS10;041005;;;
A741;PV;BELGIOIOSO;;C7AR;PV;PV;PV00;018013;;;
A742;VB;BELGIRATE;;A5BE;VB;VB;VB00;103010;;;
A743;PZ;BELLA;;S1AM;PZ;PZ;PZ00;076012;;;
A745;LC;BELLANO;;C4BK;LC;LC;LC00;097008;;;
A746;TE;BELLANTE;;N4AG;TE;TE;TE00;067006;;;
A747;RN;BELLARIA-IGEA MARINA;;H3AC;RN;RN;RN00;099001;;;
A749;RM;BELLEGRA;;M1AP;RM;RM;RM20;058012;;;
A750;CN;BELLINO;;A4AV;CN;CN;CN30;004017;;;
A751;MI;BELLINZAGO LOMBARDO;;C1BE;MI;MI;MI20;015016;;;
A752;NO;BELLINZAGO NOVARESE;;A5BF;NO;NO;NO00;003016;;;
A755;CE;BELLONA;;Q4AL;CE;CE;CE00;061007;;;
A756;SA;BELLOSGUARDO;;Q5AQ;SA;SA;SA00;065015;;;
A757;BL;BELLUNO;;D2AA;BL;BL;BL00;025006;;;
A759;MB;BELLUSCO;;C1BF;MI;MI;MI20;108006;;;
A760;FM;BELMONTE PICENO;;K2AI;AP;AP;AP10;109003;;;
A761;IS;BELMONTE DEL SANNIO;;P2AE;IS;IS;IS00;094004;;;
A762;CS;BELMONTE CALABRO;;T3AP;CS;CS;CS00;078013;;;
A763;FR;BELMONTE CASTELLO;;M2AQ;FR;FR;FR00;060013;;;
A764;PA;BELMONTE MEZZAGNO;;U1AJ;PA;PA;PA00;082009;;;
A765;RI;BELMONTE IN SABINA;;M4AG;RI;RI;RI00;057005;;;
A766;CT;BELPASSO;;U4AH;CT;CT;CT00;087007;;;
A768;CS;BELSITO;;T3AQ;CS;CS;CS00;078014;;;
A769;AN;BELVEDERE OSTRENSE;;K1AE;AN;AN;AN00;042005;;;
A770;AT;BELVEGLIO;;A3AH;AT;AT;AT00;005008;;;
A771;BO;LIZZANO IN BELVEDERE;;H1AG;BO;BO;BO00;037033;;;
A772;KR;BELVEDERE DI SPINELLO;;T2AK;KR;KR;KR00;101001;;;
A773;CS;BELVEDERE MARITTIMO;;T3AR;CS;CS;CS00;078015;;;
A774;CN;BELVEDERE LANGHE;;A4AW;CN;CN;CN20;004018;;;
A776;NU;BELVI';;V2AI;NU;NU;NU00;091007;;;
A777;SO;BEMA;;C8AH;SO;SO;SO00;014006;;;
A778;CO;BENE LARIO;;C4BM;CO;CO;CO00;013021;;;
A779;CN;BENE VAGIENNA;;A4AX;CN;CN;CN20;004019;;;
A780;RC;BENESTARE;;T1AI;RC;RC;RC00;080008;;;
A781;SS;BENETUTTI;;V3AJ;SS;SS;SS00;090008;;;
A782;CN;BENEVELLO;;A4AY;CN;CN;CN10;004020;;;
A783;BN;BENEVENTO;;Q3AA;BN;BN;BN00;062008;;;
A784;BI;BENNA;;A6AN;BI;BI;BI00;096003;;;
A785;BO;BENTIVOGLIO;;H1AH;BO;BO;BO00;037005;;;
A786;BG;BERBENNO;;C2BF;BG;BG;BG00;016023;;;
A787;SO;BERBENNO DI VALTELLINA;;C8AI;SO;SO;SO00;014007;;;
A788;PR;BERCETO;;H5AE;PR;PR;PR00;034004;;;
A789;SS;BERCHIDDA;;V3AK;SS;SS;SS00;090009;;;
A791;CO;BEREGAZZO CON FIGLIARO;;C4BN;CO;CO;CO00;013022;;;
A792;PV;BEREGUARDO;;C7AT;PV;PV;PV00;018014;;;
A793;AL;BERGAMASCO;;A2AT;AL;AL;AL10;006015;;;
A794;BG;BERGAMO;;C2AA;BG;BG;BG00;016024;;;
A795;RO;BERGANTINO;;D4AH;RO;RO;RO00;029006;;;
A796;SV;BERGEGGI;;G4AM;SV;SV;SV00;009010;;;
A798;CN;BERGOLO;;A4AZ;CN;CN;CN10;004021;;;
A799;BS;BERLINGO;;C3AY;BS;BS;BS00;017015;;;
A801;MT;BERNALDA;;S2AD;MT;MT;MT00;077003;;;
A802;MB;BERNAREGGIO;;C1BG;MI;MI;MI20;108007;;;
A804;MI;BERNATE TICINO;;C1BH;MI;MI;PV00;015019;;;
A805;CN;BERNEZZO;;A4BA;CN;CN;CN00;004022;;;
A806;FE;BERRA;;H2AC;FE;FE;FE00;038002;;;
A809;FC;BERTINORO;;H3AD;FO;FO;FO00;040003;;;
A810;UD;BERTIOLO;;F6AL;UD;UD;UD00;030010;;;
A811;LO;BERTONICO;;C1BI;LO;LO;LO00;098002;;;
A812;AT;BERZANO DI SAN PIETRO;;A3AI;AT;AT;AT00;005009;;;
A813;AL;BERZANO DI TORTONA;;A2AV;AL;AL;AL40;006016;;;
A815;BG;BERZO SAN FERMO;;C2BG;BG;BG;BG00;016025;;;
A816;BS;BERZO DEMO;;C3AZ;BS;BS;BS10;017016;;;
A817;BS;BERZO INFERIORE;;C3BA;BS;BS;BS10;017017;;;
A818;MB;BESANA IN BRIANZA;;C1BJ;MI;MI;MI20;108008;;;
A819;VA;BESANO;;C9AV;VA;VA;VA00;012011;;;
A820;MI;BESATE;;C1BK;MI;MI;PV00;015022;;;
A821;TN;BESENELLO;;E1AW;;;;022013;;;
A823;PC;BESENZONE;;H6AD;PC;PC;PC00;033003;;;
A825;VA;BESNATE;;C9AW;VA;VA;MI20;012012;;;
A826;VA;BESOZZO;;C9AX;VA;VA;VA00;012013;;;
A827;SS;BESSUDE;;V3AL;SS;SS;SS00;090010;;;
A831;PC;BETTOLA;;H6AE;PC;PC;PC00;033004;;;
A832;PG;BETTONA;;L1AD;PG;PG;PG00;054003;;;
A834;VB;BEURA-CARDEZZA;;A5BH;VB;VB;VB00;103011;;;
A835;PG;BEVAGNA;;L1AE;PG;PG;PG10;054004;;;
A836;SP;BEVERINO;;G3AD;SP;SP;SP00;011003;;;
A837;VR;BEVILACQUA;;D6AK;VR;VR;VR00;023008;;;
A841;CT;BIANCAVILLA;;U4AI;CT;CT;CT00;087008;;;
A842;CS;BIANCHI;;T3AS;CS;CS;CS00;078016;;;
A843;RC;BIANCO;;T1AJ;RC;RC;RC00;080009;;;
A844;NO;BIANDRATE;;A5BI;NO;NO;NO00;003018;;;
A845;VA;BIANDRONNO;;C9AY;VA;VA;VA00;012014;;;
A846;BG;BIANZANO;;C2BH;BG;BG;BG00;016026;;;
A847;VC;BIANZE';;A6AP;VC;VC;VC00;002011;;;
A848;SO;BIANZONE;;C8AJ;SO;SO;SO00;014008;;;
A849;MB;BIASSONO;;C1BM;MI;MI;MI20;108009;;;
A850;RE;BIBBIANO;;H8AE;RE;RE;RE00;035004;;;
A851;AR;BIBBIENA;;I2AD;AR;AR;AR00;051004;;;
A852;LI;BIBBONA;;I4AB;LI;LI;PI10;049001;;;
A853;TO;BIBIANA;;A1BH;TO;TO;TO50;001025;;;
A854;FG;BICCARI;;R3AG;FG;FG;FG10;071006;;;
A855;UD;BICINICCO;;F6AM;UD;UD;UD00;030011;;;
A856;OR;BIDONI';;V4AP;OR;OR;OR00;095014;;;
A857;VT;BLERA;;M5AJ;VT;VT;VT00;056007;;;
A859;BI;BIELLA;;A6AQ;BI;BI;BI00;096004;;;
A861;BS;BIENNO;;C3BB;BS;BS;BS10;017018;;;
A863;TN;BIENO;;E1BA;;;;022015;;;
A864;PI;BIENTINA;;I7AD;PI;PI;PI00;050001;;;
A866;MN;BIGARELLO;;C6AE;MN;MN;MN00;020004;;;
A870;CO;BINAGO;;C4BS;CO;CO;CO00;013023;;;
A872;MI;BINASCO;;C1BP;MI;MI;PV00;015024;;;
A874;BA;BINETTO;;R1AH;BA;BA;BA00;072008;;;
A876;BI;BIOGLIO;;A6AR;BI;BI;BI00;096005;;;
A877;AO;BIONAZ;;B1AK;AO;AO;AO00;007010;;;
A878;BS;BIONE;;C3BC;BS;BS;BS20;017019;;;
A880;NU;BIRORI;;V2AJ;NU;NU;NU00;091008;;;
A881;AV;BISACCIA;;Q2AL;AV;AV;AV00;064011;;;
A882;PA;BISACQUINO;;U1AK;PA;PA;PA00;082010;;;
A883;BT;BISCEGLIE;;R1AI;BA;BA;BA10;110003;;;
A884;AQ;BISEGNA;;N1AN;AQ;AQ;AQ00;066011;;;
A885;TE;BISENTI;;N4AH;TE;TE;TE00;067007;;;
A887;CS;BISIGNANO;;T3AT;CS;CS;CS00;078017;;;
A889;AL;BISTAGNO;;A2AY;AL;AL;AL10;006017;;;
A891;VA;BISUSCHIO;;C9BA;VA;VA;VA00;012015;;;
A892;BA;BITETTO;;R1AJ;BA;BA;BA00;072010;;;
A893;BA;BITONTO;;R1AK;BA;BA;BA00;072011;;;
A894;BA;BITRITTO;;R1AL;BA;BA;BA00;072012;;;
A895;NU;BITTI;;V2AK;NU;NU;NU00;091009;;;
A896;AG;BIVONA;;U2AD;AG;AG;AG00;084004;;;
A897;RC;BIVONGI;;T1AK;RC;RC;RC00;080010;;;
A898;CO;BIZZARONE;;C4BU;CO;CO;CO00;013024;;;
A902;TN;BLEGGIO SUPERIORE;;E1BD;;;;022017;;;
A903;BG;BLELLO;;C2BI;BG;BG;BG00;016027;;;
A904;CO;BLESSAGNO;;C4BV;CO;CO;CO00;013025;;;
A905;CO;BLEVIO;;C4BW;CO;CO;CO00;013026;;;
A906;PD;BOARA PISANI;;D3AM;PD;PD;PD10;028012;;;
A909;PC;BOBBIO;;H6AF;PC;PC;PC00;033005;;;
A910;TO;BOBBIO PELLICE;;A1BI;TO;TO;TO50;001026;;;
A911;NO;BOCA;;A5BK;NO;NO;NO00;003019;;;
A912;CS;BOCCHIGLIERO;;T3AU;CS;CS;CS00;078018;;;
A914;VC;BOCCIOLETO;;A6AS;VC;VC;VC00;002014;;;
A916;TN;BOCENAGO;;E1BE;;;;022018;;;
A918;VA;BODIO LOMNAGO;;C9BE;VA;VA;VA00;012016;;;
A919;LO;BOFFALORA D'ADDA;;C1BT;LO;LO;LO00;098003;;;
A920;MI;BOFFALORA SOPRA TICINO;;C1BU;MI;MI;PV00;015026;;;
A922;GE;BOGLIASCO;;G1AG;GE;GE;GE00;010004;;;
A925;VB;BOGNANCO;;A5BL;VB;VB;VB00;103012;;;
A929;NO;BOGOGNO;;A5BP;NO;NO;NO00;003021;;;
A930;CB;BOJANO;;P1AF;CB;CB;CB00;070003;;;
A931;SV;BOISSANO;;G4AP;SV;SV;SV10;009011;;;
A932;SP;BOLANO;;G3AE;SP;SP;SP10;011004;;;
A937;BG;BOLGARE;;C2BJ;BG;BG;BG00;016028;;;
A940;MI;BOLLATE;;C1BY;MI;MI;MI20;015027;;;
A941;TO;BOLLENGO;;A1BJ;TO;TO;TO40;001027;;;
A942;MT;NOVA SIRI;;S2AE;MT;MT;MT00;077018;;;
A944;BO;BOLOGNA;;H1AA;BO;BO;BO00;037006;;;
A945;PE;BOLOGNANO;;N3AD;PE;PE;PE00;068003;;;
A946;PA;BOLOGNETTA;;U1AL;PA;PA;PA00;082011;;;
A947;MC;BOLOGNOLA;;K3AF;MC;MC;MC00;043005;;;
A948;NU;BOLOTANA;;V2AL;NU;NU;NU00;091010;;;
A949;VT;BOLSENA;;M5AK;VT;VT;VT00;056008;;;
A950;BG;BOLTIERE;;C2BK;BG;BG;BG00;016029;;;
A952;BZ;BOLZANO;BOZEN;E2AA;;;;021008;;;
