Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
C764;CB;CIVITACAMPOMARANO;;P1BB;CB;CB;CB00;070019;;;
C765;VT;CIVITA CASTELLANA;;M5AZ;VT;VT;VT00;056021;;;
C766;AQ;CIVITA D'ANTINO;;N1BN;AQ;AQ;AQ00;066034;;;
C767;RM;LANUVIO;;M1BM;RM;RM;RM20;058050;;;
C768;CH;CIVITALUPARELLA;;N2AX;CH;CH;CH00;069023;;;
C769;IS;CIVITANOVA DEL SANNIO;;P2AR;IS;IS;IS00;094016;;;
C770;MC;CIVITANOVA MARCHE;;K3AN;MC;MC;MC00;043013;;;
C771;PE;CIVITAQUANA;;N3AP;PE;PE;PE00;068013;;;
C772;CB;DURONIA;;P1BD;CB;CB;CB00;070022;;;
C773;RM;CIVITAVECCHIA;;M1BN;RM;RM;RM40;058032;;;
C774;AR;CIVITELLA IN VAL DI CHIANA;;I2AR;AR;AR;AR00;051016;;;
C776;CH;CIVITELLA MESSER RAIMONDO;;N2AY;CH;CH;CH00;069024;;;
C777;FC;CIVITELLA DI ROMAGNA;;H3AJ;FO;FO;FO00;040009;;;
C778;AQ;CIVITELLA ALFEDENA;;N1BP;AQ;AQ;AQ00;066035;;;
C779;PE;CIVITELLA CASANOVA;;N3AQ;PE;PE;PE00;068014;;;
C780;VT;CIVITELLA D'AGLIANO;;M5BA;VT;VT;VT00;056022;;;
C781;TE;CIVITELLA DEL TRONTO;;N4AU;TE;TE;TE00;067017;;;
C782;GR;CIVITELLA PAGANICO;;I3AI;GR;GR;GR00;053008;;;
C783;AQ;CIVITELLA ROVETO;;N1BQ;AQ;AQ;AQ00;066036;;;
C784;RM;CIVITELLA SAN PAOLO;;M1BP;RM;RM;RM20;058033;;;
C785;SO;CIVO;;C8BA;SO;SO;SO00;014022;;;
C787;CO;CLAINO CON OSTENO;;C4FR;CO;CO;CO00;013071;;;
C789;BG;UBIALE CLANEZZO;;C2EA;BG;BG;BG00;016221;;;
C790;PN;CLAUT;;F5AQ;PN;PN;PN00;093015;;;
C791;PN;CLAUZETTO;;F5AR;PN;PN;PN00;093016;;;
C792;CN;CLAVESANA;;A4DC;CN;CN;CN20;004071;;;
C793;TO;CLAVIERE;;A1EG;TO;TO;TO60;001087;;;
C794;TN;CLES;;E1DZ;;;;022062;;;
C795;CS;CLETO;;T3BV;CS;CS;CS00;078042;;;
C796;VA;CLIVIO;;C9DE;VA;VA;VA00;012052;;;
C797;TN;CLOZ;;E1EA;;;;022063;;;
C800;BG;CLUSONE;;C2EB;BG;BG;BG00;016077;;;
C801;TO;COASSOLO TORINESE;;A1EH;TO;TO;TO20;001088;;;
C803;TO;COAZZE;;A1EI;TO;TO;TO60;001089;;;
C804;AT;COAZZOLO;;A3BQ;AT;AT;AT00;005041;;;
C806;BS;COCCAGLIO;;C3DM;BS;BS;BS00;017056;;;
C807;AT;COCCONATO;;A3BR;AT;AT;AT00;005042;;;
C810;VA;COCQUIO-TREVISAGO;;C9DG;VA;VA;VA00;012053;;;
C811;AQ;COCULLO;;N1BR;AQ;AQ;AQ00;066037;;;
C812;PD;CODEVIGO;;D3BI;PD;PD;PD00;028033;;;
C813;PV;CODEVILLA;;C7DG;PV;PV;PV20;018051;;;
C814;FE;CODIGORO;;H2AF;FE;FE;FE00;038005;;;
C815;TV;CODOGNE';;D5AX;TV;TV;TV00;026019;;;
C816;LO;CODOGNO;;C1GK;LO;LO;LO00;098019;;;
C817;UD;CODROIPO;;F6BK;UD;UD;UD00;030027;;;
C818;SS;CODRONGIANOS;;V3BC;SS;SS;SS00;090026;;;
C819;BI;COGGIOLA;;A6CE;BI;BI;BI00;096019;;;
C820;MB;COGLIATE;;C1GL;MI;MI;MI20;108020;;;
C821;AO;COGNE;;B1AZ;AO;AO;AO00;007021;;;
C823;GE;COGOLETO;;G1BJ;GE;GE;SV00;010017;;;
C824;VI;COGOLLO DEL CENGIO;;D7BI;VI;VI;VI20;024032;;;
C826;GE;COGORNO;;G1BK;GE;GE;GE10;010018;;;
C829;NO;COLAZZA;;A5DX;NO;NO;VB00;003051;;;
C835;BG;COLERE;;C2EC;BG;BG;BG00;016078;;;
C836;FR;COLFELICE;;M2BD;FR;FR;FR00;060027;;;
C838;PC;COLI;;H6AS;PC;PC;PC00;033016;;;
C839;LC;COLICO;;C4FT;LC;LC;CO00;097023;;;
C841;RI;COLLALTO SABINO;;M4AV;RI;RI;RI00;057018;;;
C844;AQ;COLLARMELE;;N1BS;AQ;AQ;AQ00;066038;;;
